구분,진단코드,진단항목,취약도,점검결과
계정관리,U-01,root 계정 원격 접속 제한,상,양호
계정관리,U-02,패스워드 복잡성 설정,상,양호
계정관리,U-03,계정 잠금 임계값 설정,상,취약
계정관리,U-04,패스워드 최대 사용 기간 설정,중,취약
계정관리,U-05,패스워드 파일 보호,상,양호
파일 및 디렉토리 관리,U-06,root 홈 패스 디렉터리 권한 및 패스 설정,상,양호
파일 및 디렉토리 관리,U-07,파일 및 디렉터리 소유자 설정,상,양호
파일 및 디렉토리 관리,U-08,/etc/passwd 파일 소유자 및 권한 설정,상,양호
파일 및 디렉토리 관리,U-09,/etc/shadow 파일 소유자 및 권한 설정,상,취약
파일 및 디렉토리 관리,U-10,/etc/hosts 파일 소유자 및 권한 설정,상,양호
파일 및 디렉토리 관리,U-11,/etc/(x)inetd.conf 파일 소유자 및 권한 설정,상,N/A
파일 및 디렉토리 관리,U-12,/etc/(r)syslog.conf 파일 소유자 및 권한 설정,상,양호
파일 및 디렉토리 관리,U-13,/etc/services 파일 및 권한 설정,상,양호
파일 및 디렉토리 관리,U-14,SUID SGID Sticy bit 설정 파일 점검,상,양호
파일 및 디렉토리 관리,U-15,사용자 시스템 시작파일 및 환경파일 소유자 및 권한 설정,상,취약
파일 및 디렉토리 관리,U-16,world writable 파일 점검,상,양호
파일 및 디렉토리 관리,U-17,$HOME/.rhosts hosts.equiv 사용금지,상,양호
파일 및 디렉토리 관리,U-18,접속 IP 및 포트 제한,상,취약
파일 및 디렉토리 관리,U-19,cron 파일 소유자 및 권한 설정,상,취약
서비스 관리,U-20,Finger 서비스 비활성화,상,N/A
서비스 관리,U-21,Anonymous FTP 비활성화,상,양호
서비스 관리,U-24,NFS 서비스 비활성화,상,취약
서비스 관리,U-25,NFS 접근통제,상,양호
서비스 관리,U-26,automountd,상,양호
서비스 관리,U-28,"NIS, NIS+ 점검",상,양호
서비스 관리,U-29,"tftp, talk 서비스 비활성화",상,양호
서비스 관리,U-30,Sendmail 버전 점검,상,N/A
서비스 관리,U-31,스팸 메일 릴레이 제한,상,양호
서비스 관리,U-32,일반사용자의 Sendmail 실행 방지,상,양호
서비스 관리,U-33,DNS 보안 버전 패치,상,양호
서비스 관리,U-34,DNS ZoneTransfer 설정,상,양호
패치 및 로그관리,U-35,최신 보안패치 및 벤더 권고사항 적용,상,N/A
패치 및 로그관리,U-36,로그의 정기적 검토 및 보고,상,N/A
